"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Survey and Taxonomy on Energy-Aware Data Management Strategies in Cloud Environment","X. You; X. Lv; Z. Zhao; J. Han; X. Ren","Beijing Key Laboratory of Internet Culture and Digital Dissemination Research, Beijing Information Science & Technology University, Beijing, China; Beijing Key Laboratory of Internet Culture and Digital Dissemination Research, Beijing Information Science & Technology University, Beijing, China; National Joint Engineering Laboratory of Internet Applied Technology of Mines, Internet of Things (IoT) Research Center, China University of Mining and Technology, Xuzhou, China; Laboratory of Complex Systems, Institute of Systems Engineering, AMS, PLA, Beijing, China; Key Laboratory of Complex Systems Modeling and Simulation, Ministry of Education, Hangzhou Dianzi University, Hangzhou, China",IEEE Access,"28 May 2020","2020","8","","94279","94293","During the past ten years, the energy consumption problem in cloud-related environments has attracted substantial attention in research and industrial communities. Researchers have conducted many surveys on energy efficiency issues from different perspectives. All of the surveys can be classified into five categories: surveys on the energy efficiency of the whole cloud related system, surveys on the energy efficiency of a certain level or component of the cloud, surveys on all of the energy efficient strategies, surveys on a certain energy efficiency techniques, and other energy efficiency related surveys. However, to the best of our knowledge, surveys on energy-aware data management strategies in cloud-related environment are absent. In this paper, we conduct a comprehensive survey on energy saving-aware data management strategies in cloud-related environments, such as data classification, data placement and data replication strategies. Compared to current existing reviews on energy efficiency in cloud-related environments, we firstly conduct the survey on the energy consumption problem from the data management perspective. Furthermore, we classify the energy-aware data management strategies from different perspectives. This survey and the taxonomy of the energy-aware data management strategies demonstrate the potential for reducing the energy consumption at the data management level of a cloud storage system, which will compress more space for energy reduction and finally achieve energy proportionality. Moreover, this survey and taxonomy on the energy efficiency issue from the data management perspective is an important supplement to current existing surveys on energy efficiency in cloud-related environments.","2169-3536","","10.1109/ACCESS.2020.2992748","National Natural Science Foundation of China(grant numbers:61671070); National Science Key Lab Fund(grant numbers:6142006190301); National Language Committee of China(grant numbers:ZDI135-53); Project of and Project of Developing University Intension for Improving the Level of Scientific Research, Qin Xin Talents Cultivation Program(grant numbers:2019KYNH226); Beijing Information Science & Technology University(grant numbers:QXTCP B201908); Zhejiang Provincial Natural Science Foundation of China(grant numbers:LQY18F020001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9087894","Energy consumption;cloud storage system;data classification;data placement;data replication;energy proportionality","Cloud computing;Energy consumption;Taxonomy;Data centers;Green products;Layout;Ocean temperature","","10","","134","CCBY","6 May 2020","","","IEEE","IEEE Journals"
"A Comprehensive Review of Green Computing: Past, Present, and Future Research","S. G. Paul; A. Saha; M. S. Arefin; T. Bhuiyan; A. A. Biswas; A. W. Reza; N. M. Alotaibi; S. A. Alyami; M. A. Moni","Department of Computer Science and Engineering, Daffodil International University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Daffodil International University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Daffodil International University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Daffodil International University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Bangabandhu Sheikh Mujibur Rahman University, Kishoreganj, Bangladesh; Department of Computer Science and Engineering, East West University, Dhaka, Bangladesh; Department of Mathematics and Statistics, Faculty of Science, Imam Mohammad Ibn Saud Islamic University, Riyadh, Saudi Arabia; Department of Mathematics and Statistics, Faculty of Science, Imam Mohammad Ibn Saud Islamic University, Riyadh, Saudi Arabia; Artificial Intelligence and Cyber Futures Institute, Charles Stuart University, Bathurst, NSW, Australia",IEEE Access,"21 Aug 2023","2023","11","","87445","87494","Green computing, also called sustainable computing, is the process of developing and optimizing computer chips, systems, networks, and software in such a manner that can maximize efficiency by utilizing energy more efficiently and minimizing the negative environmental influence on the surrounding. The term “green computing” refers to practices that lessen the negative effects of technology on the environment. Due to the improvements in modern technology, various devices, mechanisms, and software have been developed, and lots of studies have been conducted to optimize and increase those technologies’ green computing abilities. Thus, review and summarization of green computing-based studies are required to identify the current advancements, challenges, and future research opportunities. This study reviewed and summarized green computing in each area studies, by exploring green computing’s twelve areas. Current research trends, datasets or testing mechanisms, and the construction or implementation of various technologies to accomplish green computing and sustainable development have been discussed. This study, after conducting a thorough comparison and analysis, provides responses to the proposed state-of-the-art research questions. Furthermore, this study presents the current challenges and future research opportunities with respect to each green computing area. This study will provide organizations, researchers, and institutions conducting research on green computing with insights and ideas. Furthermore, environmental organizations, companies, and government agencies concerned with reducing carbon emissions and energy consumption will also benefit from this review study.","2169-3536","","10.1109/ACCESS.2023.3304332","Deanship of Scientific Research, Imam Mohammad Ibn Saud Islamic University (IMSIU), through the Research Partnership Program(grant numbers:RP-21-09-09); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10214579","Carbon emissions;eco-friendly computing;energy efficiency;green computing;green computing area;sustainable development","Green computing;Green products;Sustainable development;Energy efficiency;Cloud computing;Software;Hardware;Carbon emissions;Green computing;Sustainable development","","14","","258","CCBYNCND","11 Aug 2023","","","IEEE","IEEE Journals"
"Smart Energy Conservation in Data Centers Using Machine Learning Based Software-Defined Networking","H. Aslam; S. Munawar","Department of Computer Science and Information Technology, Virtual University of Pakistan, Dera Ghazi Khan; Department of Computer Science and Information Technology, Virtual University of Pakistan, Lahore",2023 6th International Conference on Energy Conservation and Efficiency (ICECE),"12 Apr 2023","2023","","","1","10","The rapid growth of Data Centers (DC) poses the problem of heavy energy consumption. The servers consume most of the energy in the DC, but the network infrastructure also uses a great deal of energy. It is therefore necessary to minimize the energy consumption of DC. DC Energy Conservation Strategy has various directorates, including energy-efficient methods for servers and networks, blended for servers and networks, cooling and renewable energy. As the literature revealed, many existing ways are available, but there are many problems with the current strategies, such as the issues include loss of packets, systems with rigid approaches with low modifications, obsolete methodologies for newer hardware devices, methods tested on small networks, and the amount of energy saved compared to the risk and financial cost involved is not worth it. This research eliminates the risk of packet loss up to some extent by securing as well improving the network efficiency. The study aims to construct a way to save energy in DC by employing the software-defined networking technique and modifying the existing Elastic Tree to maximize power savings, minimize the performance effect, and guarantee fault tolerance. It can consider improving the existing optimizer in elastic tree methodology and introducing new factors like power control based on traffic pattern analysis. A Mininet emulator is utilized to develop a virtual DC network. An optimizer is designed using different models and includes a floodlight controller that monitors traffic flow and creates a custom network topology by tracking the traffic pattern in DC. This custom network topology keeps the network's essential components active and power down the unneeded parts, including many links and switches, to meet the best performance. The custom topology suggested demonstrating in J-Graph. This exploration further leads to optimizer analysis, a step toward improving smart energy conservation.","2767-9829","979-8-3503-3219-3","10.1109/ICECE58062.2023.10092487","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10092487","Power Efficiency;Data Centers;Deep Learning;Cloud DC;Energy Conservation;Energy Efficiency;Artificial Intelligence (AI);software-defined networking","Energy consumption;Data centers;Renewable energy sources;Network topology;Power control;Traffic control;Topology","","","","102","IEEE","12 Apr 2023","","","IEEE","IEEE Conferences"
"Riding Pattern Identification by Machine Learning for Electric Motorcycles","M. Faraji-Niri; T. Q. Dinh; J. Marco","WMG, University of Warwick, Coventry, United Kingdom; WMG, University of Warwick, Coventry, United Kingdom; WMG, University of Warwick, Coventry, United Kingdom",2021 24th International Conference on Mechatronics Technology (ICMT),"1 Feb 2022","2021","","","1","6","Identification of riding patterns is one of the key enablers to update energy consumption strategy, optimise the energy management system and increase the range of electric motorcycles despite their weight and space limits. Considering the varying driving conditions in real applications, improving accuracy of the riding pattern recognition without significant complexity is the main challenge. In this paper a simple and efficient online classification method is introduced based on features extracted only from the motorcycle speed. The recognition mechanism is firstly developed using support vector machine technique. The effect of validation method for removing the optimism in classification and the contribution of features to the accuracy of model is then investigated. Evaluation of the method on the real riding conditions in simulation environment shows the effectiveness of the approach.","","978-1-6654-2459-2","10.1109/ICMT53429.2021.9687179","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9687179","Ride Cycle Classification;Electric Motorcycles;Machine Learning","Support vector machines;Energy consumption;Mechatronics;Motorcycles;Machine learning;Feature extraction;Windows","","1","","21","IEEE","1 Feb 2022","","","IEEE","IEEE Conferences"
"Leveraging Deep Learning to Strengthen the Cyber-Resilience of Renewable Energy Supply Chains: A Survey","M. N. Halgamuge","Department of Information Systems and Business Analytics, RMIT University, Melbourne, VIC, Australia",IEEE Communications Surveys & Tutorials,"22 Aug 2024","2024","26","3","2146","2175","Deep learning shows immense potential for strengthening the cyber-resilience of renewable energy supply chains. However, research gaps in comprehensive benchmarks, real-world model evaluations, and data generation tailored to the renewable domain persist. This study explores applying state-of-the-art deep learning techniques to secure renewable supply chains, drawing insights from over 300 publications. We aim to provide an updated, rigorous analysis of deep learning applications in this field to guide future research. We systematically review literature spanning 2020–2023, retrieving relevant articles from major databases. We examine deep learning’s role in intrusion/anomaly detection, supply chain cyberattack detection frameworks, security standards, historical attack analysis, data management strategies, model architectures, and supply chain cyber datasets. Our analysis demonstrates deep learning enables renewable supply chain anomaly detection by processing massively distributed data. We highlight crucial model design factors, including accuracy, adaptation capability, communication security, and resilience to adversarial threats. Comparing 18 major historical attacks informs risk analysis. We also showcase potential deep learning architectures, evaluating their relative strengths and limitations in security applications. Moreover, our review emphasizes best practices for renewable data curation, considering quality, labeling, access efficiency, and governance. Effective deep learning integration necessitates tailored benchmarks, model tuning guidance, and renewable energy data generation. Our multi-dimensional analysis motivates focused efforts on enhancing detection explanations, securing communications, continually retraining models, and establishing standardized assessment protocols. Overall, we provide a comprehensive roadmap to progress renewable supply chain cyber-resilience leveraging deep learning’s immense potential.","1553-877X","","10.1109/COMST.2024.3365076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10433003","Renewable energy system;supply chain;cyber security;deep learning;wind energy;solar energy;hydropower","Renewable energy sources;Supply chains;Deep learning;Security;Surveys;Computer security;Internet of Things","","","","326","IEEE","12 Feb 2024","","","IEEE","IEEE Journals"
"A Survey on Green IoT and Its Opportunities for Future Directions","S. Upadhye; N. Shelke; U. P. Thakur","Department of Computer Application, Shri Ramdeobaba College of Engineering and Management, Nagpur, India; Symbiosis Institute of Technology, Nagpur Campus Symbiosis International (Deemed University), Pune, India; Department of Computer Science and Engineering, Jhulelal Institute of Technology, Nagpur, India",2023 International Conference on Advanced Computing & Communication Technologies (ICACCTech),"27 Feb 2024","2023","","","329","334","The Internet of Things (IoT) has changed the way technology has evolved, integrating it with other aspects such as home appliances for home automation, smart city projects, e-waste management, and many more. But with the increase in the usage of IoT, there are several challenges that come along, like an increase in energy consumption. Due to this, the Green IoT comes into play. It looks for alternative solutions to the present style of implementing IoT technology, which leads to eco-friendly, sustainable, and cost-effective solutions. This survey points towards effective ways of implementing the IoT for eco-friendly, sustainable, and cost-effective management. The Internet of Things (IoT) has transformed the way technology is integrated into various aspects of life, including home automation, smart city projects, and e-waste management. However, the increasing usage of IoT technology has led to challenges, such as higher energy consumption. This has given rise to Green IoT, which seeks alternative solutions for implementing eco-friendly, sustainable, and cost-effective IoT technology. This survey focuses on effective ways to implement IoT technology for sustainable and eco-friendly cost management. It also explores the potential of IoT technology in new areas, its future sustainability, and its challenges. The adoption of green IoT practices can reduce pollution hazards, traffic waste, and energy consumption while enhancing public safety and quality of life. To create sustainable and eco-friendly cities, researchers, policymakers, and industry leaders must collaborate to address IoT implementation challenges. The survey concludes by highlighting opportunities for future research and innovation in this field.","","979-8-3503-8088-0","10.1109/ICACCTech61146.2023.00060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441655","Green IoT;Sustainability;Eco-friendly;Energy efficient;IoT oppotunities","Surveys;Energy consumption;Home automation;Smart cities;Green products;Electronic waste;Internet of Things","","","","27","IEEE","27 Feb 2024","","","IEEE","IEEE Conferences"
"Energy Efficient Data Management in Health Care","H. V; L. J; S. R. A; N. Divya Bharathi; S. Upadhyay; V. R","Computer Science and Engineering, R.M.K Engineering College; R.M.K. Engineering College; Electronics And Communication Engineering, R.M.K. College of Engineering and Technology; Electronics and Communication Engineering, SIMATS School of Engineering; Department of Electronics & Communication Engineering, Cambridge Institute of Technology, Ranchi; CSE, Ramco Institute of Technology, Rajapalayam",2023 Third International Conference on Artificial Intelligence and Smart Energy (ICAIS),"27 Mar 2023","2023","","","682","688","In healthcare WSN applications, data loss due to congestion may trigger a ""death alert"" for a crucial patient. Because of this, a system must be designed to either prevent or reduce congestion. This study presents an energy-efficient and reliable multi-path data transmission protocol for healthcare Wireless Sensor Networks (WSN). Spare data and sensitive data packets are sent through a route with little transmission interference when the system is jammed. The recommended technique assesses the danger of congestion at intermediate nodes and adjusts their transmission rate to prevent congestion. Each node's buffer is partitioned to make data transport fair and efficient. The protocol's high reliability is maintained through hop-by-hop loss recovery and acknowledgement. Simulations are used to test the recommended method's functionality. In terms of energy economy, reliability, and end-to-end delivery ratio, it exceeds existing healthcare congestion management algorithms. This study evaluates and compares the routing techniques. They present a concept for developing an energy-efficient routing protocol. This approach designs quick, compact, more energy-efficient routes than existing ones. NS2 is used to run and test the proposed system. The proposed method beats the current protocol in terms of average delay, energy savings, and packet delivery ratio.","","978-1-6654-6216-7","10.1109/ICAIS56108.2023.10073796","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10073796","Network simulator;energy consumption;hop to hop loss;energy efficient routing;WSN","Wireless sensor networks;Packet loss;Medical services;Telecommunication traffic;Routing;Energy efficiency;Routing protocols","","","","18","IEEE","27 Mar 2023","","","IEEE","IEEE Conferences"
"Carbon Credits Storage: A Comparative Multifactor Analysis of On-chain vs Off-chain Approaches","N. A. Alghanmi; N. Alghanmi; H. Alhosaini; F. K. Hussain","University of Jeddah, Jeddah, Saudi Arabia; King Abdulaziz University, Rabigh, Saudi Arabia; University of Jeddah, Jeddah, Saudi Arabia; University of Technology Sydney, Sydney, Australia",2023 IEEE International Conference on e-Business Engineering (ICEBE),"18 Dec 2023","2023","","","134","142","Data management with blockchain technology has significant implications for supply chain management, healthcare systems, finance, and government. Carbon credit systems, often referred to as the emissions reduction mechanism, are one of the areas impacted by blockchain which is a sector that seeks to reduce the levels of greenhouse gas emissions. The transparency, verifiability, and reliability characteristics of blockchain technology make it easier to track and audit information efficiently and reliably. On-chain and off-chain are two terms commonly used in the context of blockchain data management. The term ”onchain” refers to transactions that are explicitly documented on the ledger. Off-chain, on the other hand, refers to transactions that occur outside of the blockchain network. In this paper, we investigate blockchain-based solutions that are related to carbon credit systems and focus on both on-chain and offchain approaches. Moreover, we evaluate their performance and applicability based on the following main metrics: security, scalability, latency, and cost. In addition, we run a comparative analysis to assess these systems, identify their strengths and limitations, and suggest future directions for researchers to follow.","2472-8527","979-8-3503-2555-3","10.1109/ICEBE59045.2023.00031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10356172","Blockchain;Blockchain Management;Data Management;On-Chain;Off-Chain;Carbon Credits","Measurement;Supply chain management;Scalability;Government;Finance;Medical services;Blockchains","","","","60","IEEE","18 Dec 2023","","","IEEE","IEEE Conferences"
"Artificial Intelligence Applications and Prospects for The Smart Grid","X. Zhao; Y. Guo; X. Guo; H. Li","School of Electrical and Information Engineering, University of Panzhihua, Panzhihua, China; School of Electrical and Information Engineering, University of Panzhihua, Panzhihua, China; School of Electrical and Information Engineering, University of Panzhihua, Panzhihua, China; School of Electrical and Information Engineering, University of Panzhihua, Panzhihua, China",2023 Panda Forum on Power and Energy (PandaFPE),"9 Jun 2023","2023","","","1844","1848","The power system has steadily expanded the integration and development process with artificial intelligence (AI) under the new wave of global AI. The application of AI technology can not only improve the efficiency and safety of the power system, but also provide a better service experience for consumers. In order to do this, this research explores how AI technology is used in power systems. AI's application and current situation in the smart grid (SG) are clarified, such as power load forecasting, energy management, fault diagnosis and monitoring, etc. The issues faced in the SG, such as security, data processing capability and consumer participation, are discussed. In SG, data security and privacy protection are very important issues. In addition, SG needs to process a large amount of data, so it needs powerful data processing capability and efficient algorithms to handle these data. The possible future trends of the SG are foreseen, including the deep integration of AI technologies into the SG, the establishment of a safe and reliable innovative grid system, and the change of consumer participation role.","","979-8-3503-2117-3","10.1109/PandaFPE57779.2023.10141110","National Natural Science Foundation of China(grant numbers:52202368); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10141110","Artificial intelligence;Smart grid;Application status;Development trend","Renewable energy sources;Power supplies;Market research;Data processing;Regulation;Power system reliability;Smart grids","","3","","22","IEEE","9 Jun 2023","","","IEEE","IEEE Conferences"
"Green Computing for Energy Transition: A Survey","T. Nazaré; J. Gadelha; E. Nepomuceno; R. Lozi","Maynooth University, IE; Maynooth University, IE; Maynooth University, IE; Universite Cote d'Azur, FR",IEEE Latin America Transactions,"14 Sep 2023","2023","21","9","937","948","The global information technology (IT) industry accounts for approximately 2% of the world's greenhouse gas emissions, equivalent to the aviation industry's emissions. Moreover, IT energy consumption is projected to increase by 5% annually, and the industry is expected to consume 21% of the world's electricity by 2030. Therefore, there is a growing urgency to develop and implement sustainable computing practices that reduce energy consumption and mitigate the environmental impact of the computing industry. Green computing has emerged as a vital area of research due to the increasing demand for environmentally sustainable practices in the computing industry. To contribute to this dialogue, this paper presents a comprehensive survey of 74 articles related to green computing and its various subtopics, including sustainable practices, energy-efficient hardware design, software optimization, and the use of renewable energy sources. Additionally, the survey analyses the role of green algorithms in reducing energy consumption and carbon footprint in computing systems. The findings highlight the significance of adopting green computing practices to mitigate the adverse impact of computing on the environment, including greenhouse gas emissions, energy consumption, and waste generation. Our survey underscores the growing interest in green computing, as evidenced by the increasing number of articles and research studies dedicated to this topic. Furthermore, our analysis of the existing literature highlights the need for further research in this area to develop more effective and sustainable solutions. In conclusion, the survey serves as a valuable resource for researchers, practitioners, and policymakers to understand the current state of research in green computing and to identify areas for future research. By promoting sustainable practices in the computing industry, we can contribute to a more environmentally sustainable future for our planet.","1548-0992","","10.1109/TLA.2023.10251799","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10251799","Green Algorithms;Sustainable;Green Computing;Carbon Footprint;Energy Transition","Green computing;Energy consumption;Green products;Industries;Carbon footprint;Software algorithms;Surveys","","4","","","IEEE","14 Sep 2023","","","IEEE","IEEE Journals"
