"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Barros B.J.; Cunha J.P.S.","Barros, Beatriz Jacinto (59277033000); Cunha, João P. S. (57216759664)","59277033000; 57216759664","Neurophotonics: a comprehensive review, current challenges and future trends","2024","Frontiers in Neuroscience","18","","1382341","","","","3","10.3389/fnins.2024.1382341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193513384&doi=10.3389%2ffnins.2024.1382341&partnerID=40&md5=11bf6a519dd24ebd6b7a4f6b04f9030f","INESC TEC – Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal; Faculty of Engineering, University of Porto, Porto, Portugal","Barros B.J., INESC TEC – Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal; Cunha J.P.S., INESC TEC – Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal, Faculty of Engineering, University of Porto, Porto, Portugal","The human brain, with its vast network of billions of neurons and trillions of synapses (connections) between diverse cell types, remains one of the greatest mysteries in science and medicine. Despite extensive research, an understanding of the underlying mechanisms that drive normal behaviors and response to disease states is still limited. Advancement in the Neuroscience field and development of therapeutics for related pathologies requires innovative technologies that can provide a dynamic and systematic understanding of the interactions between neurons and neural circuits. In this work, we provide an up-to-date overview of the evolution of neurophotonic approaches in the last 10 years through a multi-source, literature analysis. From an initial corpus of 243 papers retrieved from Scopus, PubMed and WoS databases, we have followed the PRISMA approach to select 56 papers in the area. Following a full-text evaluation of these 56 scientific articles, six main areas of applied research were identified and discussed: (1) Advanced optogenetics, (2) Multimodal neural interfaces, (3) Innovative therapeutics, (4) Imaging devices and probes, (5) Remote operations, and (6) Microfluidic platforms. For each area, the main technologies selected are discussed according to the photonic principles applied, the neuroscience application evaluated and the more indicative results of efficiency and scientific potential. This detailed analysis is followed by an outlook of the main challenges tackled over the last 10 years in the Neurophotonics field, as well as the main technological advances regarding specificity, light delivery, multimodality, imaging, materials and system designs. We conclude with a discussion of considerable challenges for future innovation and translation in Neurophotonics, from light delivery within the brain to physical constraints and data management strategies. Copyright © 2024 Barros and Cunha.","microfluidics; neuroimaging; neuromodulation; neurophotonics; optogenetics","channelrhodopsin; deoxyhemoglobin; nanocomposite; oxyhemoglobin; pegnivacogin; photosensitizing agent; quantum dot; tau protein; action potential; artificial neural network; astrocytosis; biocompatibility; bioluminescence; blood brain barrier; blood pressure monitoring; BOLD signal; brain depth stimulation; cancer therapy; cognition; connectome; craniotomy; cytotoxicity; degenerative disease; Drosophila; Drosophila melanogaster; drug delivery system; electroencephalogram; electroencephalography; electrophysiological procedures; electrophysiology; electrostimulation; endoscopy; fluorescence imaging; functional connectivity; gene expression; glioma; heart rate; immune response; impedance; information storage; learning algorithm; locomotion; melanoma; microfluidics; microglia; microtechnology; nanofabrication; nerve cell inhibition; nervous system inflammation; neuromodulation; nuclear magnetic resonance imaging; optical coherence tomography; optogenetics; photoacoustics; photoactivation; photodynamic therapy; photoluminescence; photometry; photostimulation; photothermal therapy; prevalence; refraction index; relaxation time; retina ganglion cell; Review; scala tympani; seizure; signal noise ratio; signal transduction; spatiotemporal analysis; spectrofluorometry; synapse; telecommunication; telemedicine; three dimensional printing; three-dimensional imaging; tumor growth; ventral striatum; visual field","J.P.S. Cunha; INESC TEC – Institute for Systems and Computer Engineering, Technology and Science, Porto, Portugal; email: jcunha@ieee.org","","Frontiers Media SA","16624548","","","","English","Front. Neurosci.","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85193513384"
"Sun Y.; Lu Y.; Bao J.; Tao F.","Sun, Yicheng (57221863276); Lu, Yuqian (56173081300); Bao, Jinsong (7201398425); Tao, Fei (12141248300)","57221863276; 56173081300; 7201398425; 12141248300","Prognostics and health management via long short-term digital twins","2023","Journal of Manufacturing Systems","68","","","560","575","15","12","10.1016/j.jmsy.2023.05.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162753116&doi=10.1016%2fj.jmsy.2023.05.023&partnerID=40&md5=260c9fc0f77e628a91df2f3fbb8219cc","College of Mechanical Engineering, Donghua University, Shanghai, 201620, China; Department of Mechanical and Mechatronics Engineering, The University of Auckland, Auckland, 1010, New Zealand; School of Automation Science and Electrical Engineering, Beihang University, Beijing, 100191, China","Sun Y., College of Mechanical Engineering, Donghua University, Shanghai, 201620, China; Lu Y., Department of Mechanical and Mechatronics Engineering, The University of Auckland, Auckland, 1010, New Zealand; Bao J., College of Mechanical Engineering, Donghua University, Shanghai, 201620, China; Tao F., School of Automation Science and Electrical Engineering, Beihang University, Beijing, 100191, China","Current digital twin-based Prognostics and Health Management (PHM) research mainly focuses on prediction with a few parameters or a single event. However, when the relationship between moving parts of equipment is complex, both instantaneous failure and long-period degradation should be considered. Existing research is challenging to describe the dynamic evolution of the health status of the target object at varied time scales. In addition, data characteristics at different time scales are difficult to be captured simultaneously by current methods. This paper proposes an innovative dual time scale digital twin modeling and analysis method. According to the PHM business rules, the time series signals are decomposed into fine-grained scales and adaptively constructed into short time scale and long time scale digital twins. The generated events of different scales pay attention to the temporal characteristics and uncertainties, and interactive mapping of events at different scales is realized in cyberspace. Events at a short time scale focus on the real-time occurrence of anomalies, and long-term events track equipment degradation and trends. The interaction and collaboration between different time scale models are also discussed. Finally, the paper uses the state monitoring of large cranes in iron and steel enterprises to verify the proposed method. The results show that this modeling method can reduce the uncertainty and incompleteness of system monitoring in a complex system. Real-time performance and reliability of equipment health diagnosis have been effectively improved. © 2023 The Society of Manufacturing Engineers","Digital Twin; Event-driven; Long Short-Term Digital Twins; PHM; Time scales","Signal processing; Time measurement; 'current; Different time scale; Event-driven; Long short-term digital twin; Management research; Model method; Prognostic and health management; Short time scale; Single event; Time-scales; Uncertainty analysis","J. Bao; Donghua University, Shanghai, 2999 Renmin North Road, Songjiang District, 201620, China; email: bao@dhu.edu.cn","","Elsevier B.V.","02786125","","JMSYE","","English","J Manuf Syst","Article","Final","","Scopus","2-s2.0-85162753116"
"Mohd N.; Kumar I.; Agrawal A.J.","Mohd, Noor (57202616297); Kumar, Indrajeet (57214974927); Agrawal, Avinash J. (57191277845)","57202616297; 57214974927; 57191277845","Machine Learning Applications and the use of Big Data to Manage the Operation of SMEs","2023","2023 International Conference on Communication, Security and Artificial Intelligence, ICCSAI 2023","","","","664","668","4","0","10.1109/ICCSAI59793.2023.10421701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186697779&doi=10.1109%2fICCSAI59793.2023.10421701&partnerID=40&md5=772d0caa00ac7afa7d6e3a04c6f75021","Graphic Era Deemed to Be University, Uttarakhand, Dehradun, India; Graphic Era Hill University, Uttarakhand, Dehradun, India; ShriRamdeobaba College of Engineering and Management, Nagpur, India","Mohd N., Graphic Era Deemed to Be University, Uttarakhand, Dehradun, India; Kumar I., Graphic Era Hill University, Uttarakhand, Dehradun, India; Agrawal A.J., ShriRamdeobaba College of Engineering and Management, Nagpur, India","Managing big data is a trending concept for industrial development. Machine learning helps to increase the sales rate of the firm improving the quality of the production process in the SMEs. Training and skill development managed by technological tools and big data analytics ensure the progress of the firm providing information security. Big data help to design the operations of the firm analyzing the market condition and customer demand. Furthermore, the data safety issues create barriers to the technological advancement of the firm, and the managers need to update and monitor the software development to increase consumer confidentiality in SMEs.  © 2023 IEEE.","advancement of technology; Big data analytics; decision making; Industrial development; machine learning; operation system; project management; SMEs","Big data; Data Analytics; Information management; Machine learning; Project management; Security of data; Software design; Advancement of technology; Big data analytic; Data analytics; Decisions makings; Industrial development; Machine learning applications; Machine-learning; Operation system; Production process; SME; Decision making","","","Institute of Electrical and Electronics Engineers Inc.","","979-835036996-0","","","English","Int. Conf. Commun., Secur. Artif. Intell., ICCSAI","Conference paper","Final","","Scopus","2-s2.0-85186697779"
"Restrepo-Carmona J.A.; Zuluaga J.C.; Velásquez M.; Zuluaga C.; Villamil R.M.; Morales O.; Hurtado Á.M.; Escobar C.A.; Sierra-Pérez J.; Vásquez R.E.","Restrepo-Carmona, Jaime A. (59170502500); Zuluaga, Juan C. (59346228100); Velásquez, Manuela (58894342700); Zuluaga, Carolina (57200164251); Villamil, Rosse M. (59345679700); Morales, Olguer (57231403700); Hurtado, Ángela M. (59346135200); Escobar, Carlos A. (59345511000); Sierra-Pérez, Julián (55579233100); Vásquez, Rafael E. (16040913400)","59170502500; 59346228100; 58894342700; 57200164251; 59345679700; 57231403700; 59346135200; 59345511000; 55579233100; 16040913400","Smart Supervision of Public Expenditure: A Review on Data Capture, Storage, Processing, and Interoperability with a Case Study from Colombia","2024","Information (Switzerland)","15","10","616","","","","0","10.3390/info15100616","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207506707&doi=10.3390%2finfo15100616&partnerID=40&md5=55ab4ffe3f53f1dd81cac5fc10d23017","Corporación Rotorr, Universidad Nacional de Colombia, Cr. 45 26-85, Bogotá, 111311, Colombia; Dirección de Información, Análisis y Reacción Inmediata, Contraloría General de la República, Cr. 69 No 44-35, Bogotá, 111071, Colombia; School of Engineering, Universidad Pontificia Bolivariana, Medellín, 050031, Colombia","Restrepo-Carmona J.A., Corporación Rotorr, Universidad Nacional de Colombia, Cr. 45 26-85, Bogotá, 111311, Colombia; Zuluaga J.C., Dirección de Información, Análisis y Reacción Inmediata, Contraloría General de la República, Cr. 69 No 44-35, Bogotá, 111071, Colombia; Velásquez M., School of Engineering, Universidad Pontificia Bolivariana, Medellín, 050031, Colombia; Zuluaga C., School of Engineering, Universidad Pontificia Bolivariana, Medellín, 050031, Colombia; Villamil R.M., Dirección de Información, Análisis y Reacción Inmediata, Contraloría General de la República, Cr. 69 No 44-35, Bogotá, 111071, Colombia; Morales O., Dirección de Información, Análisis y Reacción Inmediata, Contraloría General de la República, Cr. 69 No 44-35, Bogotá, 111071, Colombia; Hurtado Á.M., Dirección de Información, Análisis y Reacción Inmediata, Contraloría General de la República, Cr. 69 No 44-35, Bogotá, 111071, Colombia; Escobar C.A., Corporación Rotorr, Universidad Nacional de Colombia, Cr. 45 26-85, Bogotá, 111311, Colombia; Sierra-Pérez J., Corporación Rotorr, Universidad Nacional de Colombia, Cr. 45 26-85, Bogotá, 111311, Colombia, School of Engineering, Universidad Pontificia Bolivariana, Medellín, 050031, Colombia; Vásquez R.E., Corporación Rotorr, Universidad Nacional de Colombia, Cr. 45 26-85, Bogotá, 111311, Colombia, School of Engineering, Universidad Pontificia Bolivariana, Medellín, 050031, Colombia","Effective fiscal control and monitoring of public management are critical for preventing and mitigating corruption, which in turn, enhances government performance and benefits citizens. Given the vast amounts of data involved in government operations, applying advanced data analysis methods is essential for strengthening fiscal oversight. This paper explores data management strategies aimed at enhancing fiscal control, beginning with a bibliometric study to underscore the relevance of this research. The study reviews existing data capture techniques that facilitate fiscal oversight, addresses the challenges of data storage in terms of its nature and the potential for contributing to this goal, and discusses data processing methods that yield actionable insights for analysis and decision-making. Additionally, the paper deals with data interoperability, emphasizing the importance of these practices in ensuring accurate and reliable analysis, especially given the diversity and volume of data within government operations. Data visualization is highlighted as a crucial component, enabling the detection of anomalies and promoting informed decision-making through clear and effective visual representations. The research concludes with a case study on the modernization of fiscal control in Colombia, focusing on the identification of user requirements for various data-related processes. This study provides valuable insights for modern audit and fiscal control entities, emphasizing that data capture, storage, processing, interoperability, and visualization are integral to the effective supervision of public expenditure. By ensuring that public funds are managed with transparency, accountability, and efficiency, the research advances the literature by addressing both the technological aspects of data management and the essential process improvements and human factors required for successful implementation. © 2024 by the authors.","digital transformation; fiscal control; governmental accounting; Industry 5.0; public expenditure; smart government","Data assimilation; Information management; Storage management; Case-studies; Colombia; Data interoperability; Data storage; Digital transformation; Fiscal control; Governmental accounting; Industry 5.0; Public expenditures; Smart government","R.E. Vásquez; Corporación Rotorr, Universidad Nacional de Colombia, Bogotá, Cr. 45 26-85, 111311, Colombia; email: rafael.vasquez@upb.edu.co","","Multidisciplinary Digital Publishing Institute (MDPI)","20782489","","","","English","Information","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85207506707"
"Chochia A.; Gvineria S.; Mölder H.","Chochia, Archil (56667586900); Gvineria, Shota (59197510000); Mölder, Holger (38361951000)","56667586900; 59197510000; 38361951000","Building a Legislative Framework for Securing Georgia's Strategic Assets","2024","TalTech Journal of European Studies ","14","1","","271","301","30","0","10.2478/bjes-2024-0013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197319964&doi=10.2478%2fbjes-2024-0013&partnerID=40&md5=d87fe75a67efd0278ac3b7b8f6cc2c6c","Department of Law, Tallinn University of Technology, Ehitajate tee 5, Tallinn, 19086, Estonia; Baltic Defence College, Riia 12, Tartu, 51010, Estonia; Economic Policy Research Center, Paliashvili 85, Tbilisi, 0162, Georgia","Chochia A., Department of Law, Tallinn University of Technology, Ehitajate tee 5, Tallinn, 19086, Estonia; Gvineria S., Baltic Defence College, Riia 12, Tartu, 51010, Estonia, Economic Policy Research Center, Paliashvili 85, Tbilisi, 0162, Georgia; Mölder H., Department of Law, Tallinn University of Technology, Ehitajate tee 5, Tallinn, 19086, Estonia","The article discusses the importance of modernizing and securing critical infrastructure in Georgia, particularly within the context of its geopolitical position and evolving economic landscape, by building an appropriate legal framework. The article outlines the signifi cant impact of cyberspace on traditional sectors such as energy, transportation, and telecommunications, necessitating a re-evaluation of critical infrastructure in the digital age. Highlighting Georgia's aspirations to align with European and Euro-Atlantic structures for enhanced national security and democratization, the study emphasizes the need for regulatory and legislative frameworks that would be compatible with EU standards. Drawing on a comparative analysis between Estonia and Georgia, the research identifies gaps and areas for improvement in Georgia's critical infrastructure protection (CIP) system. Through the examination of Estonia's successful transformation from a Soviet-era environment to a robust EU-compatible CIP system, the study offers recommendations tailored to Georgia's context.  © 2024 Archil Chochia et al., published by Sciendo.","CIP systems; critical infrastructure; Estonia; Georgia; Georgian legal system","","","","Sciendo","26744600","","","","English","TalTech. J. Eur. Stud.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85197319964"
"Triantafyllou M.; Al-Bazi A.; Ahmad M.A.","Triantafyllou, Maria (36544527200); Al-Bazi, Ammar (35098298500); Ahmad, Mahmood Abdulsattar (59315292800)","36544527200; 35098298500; 59315292800","Digital Twins: Revolutionizing Automotive Supply Chains","2024","Lecture Notes in Networks and Systems","1104 LNNS","","","3","13","10","0","10.1007/978-3-031-68628-3_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203196557&doi=10.1007%2f978-3-031-68628-3_1&partnerID=40&md5=2843fdbf519f526dd4abc91b24f5f2ea","Warwick Manufacturing Group, University of Warwick, Coventry, CV4 7AL, United Kingdom; Aston Business School, Aston University, Birmingham, B4 7ET, United Kingdom","Triantafyllou M., Warwick Manufacturing Group, University of Warwick, Coventry, CV4 7AL, United Kingdom; Al-Bazi A., Aston Business School, Aston University, Birmingham, B4 7ET, United Kingdom; Ahmad M.A., Aston Business School, Aston University, Birmingham, B4 7ET, United Kingdom","This paper explores the transformative potential of Digital Twins (DTs) in the automotive sector, particularly in the context of the 4th industrial revolution. It delves into the evolution of DTs from their origins to their current applications to highlight the rapid technological advancement and the increasing influence DTs have on various industries and contexts. It discusses how DTs, powered by advanced technologies like IoT, Big Data analytics, and simulation techniques, are being adopted by automotive manufacturers to enhance the lifecycle management of vehicles and optimize supply chain processes. It examines the role of DTs in various stages of a vehicle’s lifecycle, from its conceptualization and design to predictive maintenance and disposal to highlight the importance for interoperability and improved integration with other advanced technologies. Moreover, it identifies key research gaps that need to be addressed for further advancement in this field. It emphasizes the importance of fostering DT integration with other disruptive technologies and developing robust data management strategies. It calls for collaborative efforts in research and industry to bridge the existing gaps and fully unlock the potential of DTs in the automotive sector. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","AI; automotive supply chains; Digital twins; Internet of Things","Automobiles; Automotive industry; Supply chain management; Supply chains; 'current; Advanced technology; Analytic technique; Automotive sector; Automotive supply chains; Data analytics; Data simulation; Industrial revolutions; Simulation technique; Technological advancement; Predictive maintenance","M. Triantafyllou; Warwick Manufacturing Group, University of Warwick, Coventry, CV4 7AL, United Kingdom; email: maria.triantafyllou@warwick.ac.uk","Benadada Y.; Mhada F.-Z.; Ouzayd F.; Boukachour J.; El Hilali Alaoui A.","Springer Science and Business Media Deutschland GmbH","23673370","978-303168627-6","","","English","Lect. Notes Networks Syst.","Conference paper","Final","","Scopus","2-s2.0-85203196557"
"Varshini S.H.; Varma G.S.; Saravanan S.","Varshini, Surisetty Hima (59366084400); Varma, Gottimukkala Sarayu (58132661900); Saravanan, S. (57195644470)","59366084400; 58132661900; 57195644470","A Streaming Application for Real-Time Analytics of Seismic Data","2023","2023 4th IEEE Global Conference for Advancement in Technology, GCAT 2023","","","","","","","0","10.1109/GCAT59970.2023.10353520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182570238&doi=10.1109%2fGCAT59970.2023.10353520&partnerID=40&md5=82babac2824d95c1cc382d7cfb0e8ce8","Dept. of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bengaluru, India","Varshini S.H., Dept. of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bengaluru, India; Varma G.S., Dept. of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bengaluru, India; Saravanan S., Dept. of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bengaluru, India","An earthquake is shaking of the surface of the Earth resulting from a sudden release of energy in the Earth's lithosphere. A few massive, irregularly shaped slabs of rock known as tectonic plates are present inside the Earth which are always under a slow and continuous motion. However, in some cases they might get stuck at their edges as a result of friction. When the stress on the edges of the tectonic plates overcomes the friction, it causes an earthquake which releases energy due to which shaking is felt during an earthquake. There are not many well-defined prediction methods. However, usually a long-term analysis of the earthquakes in a specific location is used for predicting an earthquake. The proposed work is to model a real-time streaming application using Apache Kafka, Apache Spark, MongoDB, and Dash that can help in the prediction and real-time analytics of the seismic data. The seismic data of thirty days was obtained from the IRIS Seismic Monitor. This data was used to develop a real-time streaming application with a real-time dashboard. © 2023 IEEE.","Apache Kafka; Apache Spark; Dash; Earthquake; IRIS seismic monitor; MongoDB; Prediction; Real-time analytics; Seismic; Tectonic plates","Earthquakes; Friction; Seismic response; Seismic waves; Tectonics; Apache kafkum; Apache spark; Dash; IRIS seismic monitor; MongoDB; Real-time analytics; Seismic; Seismic datas; Streaming applications; Tectonic plates; Forecasting","","","Institute of Electrical and Electronics Engineers Inc.","","979-835030525-8","","","English","IEEE Glob. Conf. Adv. Technol., GCAT","Conference paper","Final","","Scopus","2-s2.0-85182570238"
"Podder S.; Mukherjee S.","Podder, Srabani (59412250500); Mukherjee, Sudipta (56939740000)","59412250500; 56939740000","RESPONSE SURFACE METHODOLOGY (RSM) AS A TOOL IN PHARMACEUTICAL FORMULATION DEVELOPMENT","2024","Asian Journal of Pharmaceutical and Clinical Research","17","11","","18","25","7","0","10.22159/ajpcr.2024v17i11.52149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209175045&doi=10.22159%2fajpcr.2024v17i11.52149&partnerID=40&md5=63bbe442c2c3a0d2299824a83f590570","Eminent College of Pharmaceutical Technology, West Bengal, Barasat, India; Global College of Pharmaceutical Technology, West Bengal, Krishnagar, India","Podder S., Eminent College of Pharmaceutical Technology, West Bengal, Barasat, India; Mukherjee S., Global College of Pharmaceutical Technology, West Bengal, Krishnagar, India","Response surface methodology (RSM) serves as a valuable tool in pharmaceutical formulation development, facilitating the optimization of drug formulations by systematically exploring the effects of multiple variables on desired responses. This methodology involves the design of experiments to generate mathematical models that predict the relationship between formulation parameters and critical quality attributes. By utilizing statistical techniques such as factorial design, central composite design, and Box-Behnken design, RSM enables the identification of optimal formulation conditions while minimizing the number of experimental trials. Across iterative experimentation and model refinement, RSM assists in understanding the complex interactions between formulation components, process variables, and product characteristics. In this review, we discuss the application of RSM in pharmaceutical formulation studies, highlighting its efficacy in optimizing drug delivery systems, enhancing product stability, and ensuring quality control. In addition, we explore recent advancements in RSM-driven approaches, including its integration with computational modeling and artificial intelligence techniques for enhanced formulation design and process optimization. Overall, RSM offers a systematic and efficient approach for developing robust pharmaceutical formulations, thereby accelerating the drug development process and improving therapeutic outcomes. © 2024 The Authors.","Box-Behnken design; Central composite design; Design of experiments","artificial intelligence; Box Behnken design; central composite design; computer model; controlled study; drug delivery device; drug delivery system; drug development; drug formulation; experimental design; factorial design; human; mathematical model; nonhuman; process optimization; quality control; response surface method; review","S. Mukherjee; Global College of Pharmaceutical Technology, Krishnagar, West Bengal, India; email: sudipta07tech@gmail.com","","Innovare Academics Sciences Pvt. Ltd","09742441","","","","English","Asian J. Pharm. Clin. Res.","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85209175045"
"Zahran S.; Elkadi H.; Helm W.","Zahran, Sherif (57982014100); Elkadi, Hatem (36132977900); Helm, Waleed (57981190400)","57982014100; 36132977900; 57981190400","Fog of Things Framework to Handle Data Streaming Heterogeneity on Internet of Things","2023","Lecture Notes on Data Engineering and Communications Technologies","152","","","653","667","14","1","10.1007/978-3-031-20601-6_53","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142612532&doi=10.1007%2f978-3-031-20601-6_53&partnerID=40&md5=bc1cf081faa20e1ecf01e138fb9ac769","Faculty of Computers and Artificial Intelligence, Cairo University, Giza, Egypt","Zahran S., Faculty of Computers and Artificial Intelligence, Cairo University, Giza, Egypt; Elkadi H., Faculty of Computers and Artificial Intelligence, Cairo University, Giza, Egypt; Helm W., Faculty of Computers and Artificial Intelligence, Cairo University, Giza, Egypt","Internet of Things (IoT) sensors produce a huge amount of data every second. This unexpected data volume needs significant effort to manage, structure, save, and process to produce effective information and best utilize it. Extracting valuable knowledge from this heterogonous data is a high demanding need. Making accurate decisions based on this data was a dream in the near past. Data management and handling data heterogeneity locally on sensor boards and regionally on local servers using Fog and centrally on Cloud acts as an enabler for giving IoT an excellent value even if it faces many complexities and challenges, as discussed in this paper. Moreover, data management in IoT is a serious issue due to communication among billions of devices, which generate massive datasets. Data analysis on such a big volume of data is a difficult undertaking due to the lack of any standard. A definition of IoT-based data should be established to determine what is available and how it can be used. A study like this also points to the need for innovative approaches to deal with such problems. It's a great difficulty to cope with such a range of data as IoT delivers processing nodes in the form of smart nodes due to the heterogeneity of linked nodes, varied data rates, and formats. The Industrial IoT involves real-time analysis of data from interconnected sensor devices. It provides a solid foundation for big data research. Real-time data streaming adds an extra dimension of complexity and involves some more challenges. we briefly outline current open issues of edge computing and cloud computing platforms based on our literature survey for IoT data streaming heterogeneity. Finally, we propose Fog of Things Framework as a solution for all these challenges. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Big data; Cloud computing; Data heterogeneity; Data management; Data streaming; Edge computing; Fog computing; Internet of things; Real-time data","Big data; Data reduction; Edge computing; Fog; Fog computing; Internet of things; Cloud-computing; Data heterogeneity; Data streaming; Data volume; Decision-based; Edge computing; Innovative approaches; Local servers; Massive data sets; Real-time data; Information management","S. Zahran; Faculty of Computers and Artificial Intelligence, Cairo University, Giza, Egypt; email: s.zahran@fci-cu.edu.eg","","Springer Science and Business Media Deutschland GmbH","23674512","","","","English","Lecture. Notes. Data Eng. Commun. Tech.","Book chapter","Final","","Scopus","2-s2.0-85142612532"
"Stefanidou-Voziki P.; Cardoner-Valbuena D.; Villafafila-Robles R.; Dominguez-Garcia J.L.","Stefanidou-Voziki, P. (57211823652); Cardoner-Valbuena, D. (57490388900); Villafafila-Robles, R. (24768325200); Dominguez-Garcia, J.L. (36650855300)","57211823652; 57490388900; 24768325200; 36650855300","Data analysis and management for optimal application of an advanced ML-based fault location algorithm for low voltage grids","2022","International Journal of Electrical Power and Energy Systems","142","","108303","","","","12","10.1016/j.ijepes.2022.108303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129936946&doi=10.1016%2fj.ijepes.2022.108303&partnerID=40&md5=098ab630a016362b74c057ba1ec60f69","Institut de Recerca en Energia de Catalunya (IREC), Jardins de les Dones de Negre 1, Sant Adrià de Besòs (Barcelona), 08930, Spain; Ciklum, Severo Ochoa 5, Malaga, 29590, Spain; Centre d'Innovació Tecnológica en Convertidors Estátics i Accionaments (CITCEA-UPC), Departament d'Enginyeria Eléctrica, Universitat Politécnica de Catalunya, ETS d#x0026;02.#x0027;Enginyeria Industrial de Barcelona, Av. Diagonal 647, Pl. 2, Barcelona, 08028, Spain","Stefanidou-Voziki P., Institut de Recerca en Energia de Catalunya (IREC), Jardins de les Dones de Negre 1, Sant Adrià de Besòs (Barcelona), 08930, Spain; Cardoner-Valbuena D., Ciklum, Severo Ochoa 5, Malaga, 29590, Spain; Villafafila-Robles R., Centre d'Innovació Tecnológica en Convertidors Estátics i Accionaments (CITCEA-UPC), Departament d'Enginyeria Eléctrica, Universitat Politécnica de Catalunya, ETS d#x0026;02.#x0027;Enginyeria Industrial de Barcelona, Av. Diagonal 647, Pl. 2, Barcelona, 08028, Spain; Dominguez-Garcia J.L., Institut de Recerca en Energia de Catalunya (IREC), Jardins de les Dones de Negre 1, Sant Adrià de Besòs (Barcelona), 08930, Spain","As the need for automatization of the electricity grid's fault diagnosis schemes is rising, the application of technologies such as the artificial intelligence (AI) can provide practical solutions to the problem. AI can overcome the challenges that complex topologies like those of the low voltage (LV) smart grids pose and prove to be a powerful tool in the development of advanced fault diagnosis methods. An important parameter for the success of any AI-based method is the quality of data. Therefore, in this paper a data analysis is performed in order to evaluate the type of data produced by a small LV grid and an representative AI algorithm's response to those. In the context of this analysis, the most important features and meters were identified. Furthermore, as a response to the large volume of available data, a data management strategy is proposed. The strategy combines original and reshaped features. For this purpose, five dimensionality reduction methods are tested and compared. Truncated-SVD is deemed the most appropriate and is subsequently utilized for the reshaping of the dataset that is introduced to the XGBoost fault location model. The integration of the dimensionality reduction technique in the algorithm results in the decrease of the computational time and the dataset's size and in a higher generalizability of the algorithm. Thus, the application of the proposed method is not limited by the grid's topology. The method's robustness was verified against various influencing parameters such as the fault resistance, the size of the dataset, the loss of data and the photovoltaics’ penetration level. The overall algorithm achieved a mean squared error of 13.26 and a training and test accuracy of more than 99% when tested on the CIGRE LV benchmark grid. © 2022 Elsevier Ltd","Data analysis; Dimensionality reduction; Fault location; Low voltage grid; Machine learning","Data reduction; Electric fault location; Electric power transmission networks; Failure analysis; Fault detection; Information analysis; Information management; Location; Mean square error; Topology; Complex topology; Dimensionality reduction; Electricity grids; Fault diagnosis schemes; Fault location algorithms; Grid fault; Low voltages; Low-voltage grid; Optimal applications; Practical solutions; Machine learning","P. Stefanidou-Voziki; Institut de Recerca en Energia de Catalunya (IREC), Sant Adrià de Besòs (Barcelona), Jardins de les Dones de Negre 1, 08930, Spain; email: pstefanidou@irec.cat","","Elsevier Ltd","01420615","","IEPSD","","English","Int J Electr Power Energy Syst","Article","Final","","Scopus","2-s2.0-85129936946"
